Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
House Party,"$9,002,247","1,400",Jan 13,/release/rl1456964353/?ref_=bo_yld_table_107,tt8005118,"$3,985,882","1,400",4.4,4243,81,94
Radical,"$8,636,299",534,Nov 3,/release/rl1335788289/?ref_=bo_yld_table_108,tt14570440,"$2,658,047",419,7.8,3442,99,94
Everything Everywhere All at Once,"$8,410,284","2,220",Mar 25,/release/rl3861218049/?ref_=bo_yld_table_109,tt6710474,"$501,305",10,7.8,526576,86,94
Salaar,"$8,268,997",802,Dec 22,/release/rl2487451649/?ref_=bo_yld_table_110,tt13927994,"$5,618,511",802,6.5,62412,unknown,unknown
Silent Night,"$7,996,185","1,873",Dec 1,/release/rl1018987265/?ref_=bo_yld_table_111,tt15799866,"$3,010,207","1,870",5.3,17793,,
Beau Is Afraid,"$7,740,323","2,125",Apr 14,/release/rl1022984961/?ref_=bo_yld_table_112,tt13521006,"$320,396",4,6.7,58635,71,67
The Hill,"$7,665,865","1,703",Aug 25,/release/rl1476166401/?ref_=bo_yld_table_113,tt8051894,"$2,301,931","1,570",6.7,5244,97,44
Sisu,"$7,265,622","1,006",Apr 28,/release/rl2306900737/?ref_=bo_yld_table_114,tt14846026,"$3,330,891","1,006",6.9,73507,88,94
Star Wars: Episode VI - Return of the Jedi2023 Re-release,"$7,259,924",475,Apr 28,/release/rl1133413121/?ref_=bo_yld_table_115,tt0086190,"$5,100,654",475,8.3,1116981,unknown,unknown
Dunki,"$7,160,815",650,Dec 21,/release/rl2847769345/?ref_=bo_yld_table_116,tt15428134,"$2,714,469",551,6.7,71317,76,48
Coraline2023 Re-release (remastered),"$7,149,366","1,469",Aug 14,/release/rl3214443265/?ref_=bo_yld_table_117,tt0327597,unknown,unknown,7.7,262185,unknown,unknown
Retribution,"$6,937,696","1,750",Aug 25,/release/rl178029313/?ref_=bo_yld_table_118,tt6906292,"$3,518,830","1,750",5.3,19566,,
Journey to Bethlehem,"$6,816,475","2,002",Nov 10,/release/rl330924801/?ref_=bo_yld_table_119,tt13848804,"$2,400,446","2,002",6.4,2270,94,75
Next Goal Wins,"$6,713,826","2,240",Nov 17,/release/rl3805971201/?ref_=bo_yld_table_120,tt10767052,"$2,500,295","2,240",6.5,17293,89,100
Operation Fortune: Ruse de Guerre,"$6,496,125","2,168",Mar 3,/release/rl3305145089/?ref_=bo_yld_table_121,tt7985704,"$3,140,214","2,168",6.3,83793,82,51
BTS: Yet to Come in Cinemas,"$6,350,496","1,210",Feb 1,/release/rl1828487937/?ref_=bo_yld_table_122,tt24807190,"$8,022,774","1,210",8.5,1198,99,
Babylon,"$6,268,558","3,351",Dec 23,/release/rl2308997633/?ref_=bo_yld_table_123,tt10640346,"$3,603,368","3,343",7.1,165238,45,100
